D_TRADE,N_SECURITY,OPEN_PRC,CLOSE_PRC,LOW_PRC,HIGH_PRC,DVD_YIELD,BOOK_VALUE,PB_RATIO,PE_RATIO,Q_VOLUME,MKT_CAP,ADJUST_FACTOR,TURNOVER,I_MARKET,I_INDUSTRY,I_SECTOR,SENTIMENT_AVG,SENTIMENT_SUM,Baro_Index,Fundamental_Score,Technic_Score,Quant_Score,Total_score,Rank,SET_CLOSE,SET50_CLOSE,SET100_CLOSE,SECTOR_OPEN,SECTOR_CLOSE,SECTOR_LOW,SECTOR_HIGH,SECTOR_YIELD,SECTOR_TURNOVER,SECTOR_MKT_YIELD,SECTOR_MKT_PE,SECTOR_MKT_CAP,SECTOR_MKT_PBV,ORD_IMB,ORD_IMB_R,Q_SHORT,A_SHORT,EBIT,DEPRE,CASH,SH_INV,DEBT,M_NVDR_BUY,M_NVDR_SELL,Q_NVDR_BUY,Q_NVDR_SELL,OPEN_INTEREST,F_Q_VOLUME,NET_SBL_VALUE,TOTAL_NOMINAL_SSF,TOTAL_VALUE_DW_STOCK50_CALL,TOTAL_VALUE_DW_STOCK50_PUT,TOTAL_VALUE_DW_SET50_CALL,TOTAL_VALUE_DW_SET50_PUT,TOP15_NET_NVDR_VALUE,NET_VOLUME_CONTRACTS_SET50_BY_FOREIGN,NET_VALUE_STOCK_BY_FOREIGN
2025-06-17 00:00:00.000,"ZIGA                ",1.19,1.18,1.18,1.23,0,1.11,1.06,33.58,1769600,870047569.82,1,0.239999994635582,S,59,67,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86655,103828,72600,86600,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"ZEN                 ",5.45,5.35,5.35,5.45,3.1800000667572,4.58,1.17,29.55,1300,1605000000,1,0,A,1,12,1,1,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,8806.28,8789.00,8756.94,8847.76,5.03,90941574,5.03,10.28,763071701870.54,1.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"ZAA                 ",1,1,0.95,1,0,0.43,2.32,0,6500,650059588,1,0,A,7,10,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,22.01,21.99,21.98,22.32,1.82,127649975,1.82,0.00,111072980007.76,1.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"YUASA               ",10.3,10,10,10.4,6.09000015258789,11.94,0.84,5.56,7100,1076250000,1,0.00999999977648258,S,59,67,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3060,10300,300,1000,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"YONG                ",0.72,0.72,0.71,0.74,8.32999992370605,1.34,0.54,12.9,243400,489600000,1,0.0399999991059303,S,60,68,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5760,7200,8000,10000,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"YGG                 ",0.36,0.37,0.35,0.37,0,0.13,2.74,0,503100,222738959.19,1,0.0799999982118607,S,62,70,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51440,NULL,140400,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"XYZ                 ",0.32,0.33,0.32,0.33,0,0.46,0.71,0,187600,550024062.39,1,0.00999999977648258,A,8,6,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,187.17,185.07,184.73,187.61,2.97,151585707,2.97,37.05,1531213347169.9,2.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,100,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"XPG                 ",0.76,0.76,0.76,0.77,0,1.11,0.68,46.97,3693400,8132145236.76,1,0.0299999993294477,A,3,11,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,2039.84,2056.50,2035.95,2067.27,2.80,120596459,2.80,18.07,407421023806.41,1.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57820,57076,75700,75100,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"XO                  ",14.8,14.8,14.7,14.9,14.1099996566772,3.75,3.95,9.9,894100,6338312779.6,1,0.209999993443489,S,56,64,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1663520,11707350,112400,790900,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"XBIO                ",0.15,0.15,0.15,0.16,0,0.24,0.64,0,1977700,314684226.15,1,0.0900000035762787,A,1,12,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,8806.28,8789.00,8756.94,8847.76,5.03,90941574,5.03,10.28,763071701870.54,1.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
